dataset,feature_set,model,train_rows,test_rows,numeric_features,categorical_features,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2
aus_overlap,extreme_weather_only,ANN_MLP,645,144,76,3,0.13770188571014882,0.1960889795686523,0.9376611369915545,0.5953510521292011,0.806151414611684,0.5818337258036799
aus_overlap,extreme_weather_only,ElasticNet,645,144,76,3,0.31523084562211756,0.433983700499619,0.6946490037563284,0.5559452492298426,0.8152041027010736,0.5723893866777539
aus_overlap,extreme_weather_only,ExtraTrees,645,144,76,3,0.03757931121712681,0.05768761951741805,0.9946046733884955,0.5942221496115937,0.8166230541747782,0.5708994855039922
aus_overlap,extreme_weather_only,Ridge,645,144,76,3,0.3157516244822352,0.4326587520667131,0.6965106254834217,0.5621837211742728,0.8189018389409968,0.5685013361409368
aus_overlap,extreme_weather_only,RandomForest,645,144,76,3,0.0973624386318604,0.1327158463439012,0.9714439544593211,0.6033567720864598,0.8443932568095834,0.5412191566580231
aus_overlap,extreme_weather_only,HistGradientBoosting,645,144,76,3,0.04501416785183398,0.07781100903780443,0.9901839989003172,0.5554849424857773,0.8619074851187419,0.5219899065211864
aus_overlap,extreme_weather_soil,ANN_MLP,645,144,138,3,0.14073368052599045,0.20643213612573455,0.9309112846855792,0.5950564888015702,0.7840152616249005,0.604483326929738
aus_overlap,extreme_weather_soil,ExtraTrees,645,144,138,3,0.03687675893856868,0.057142133913352385,0.9947062257974413,0.5935252159500147,0.8102318568760362,0.5775898042573375
aus_overlap,extreme_weather_soil,ElasticNet,645,144,138,3,0.31517197495390736,0.43375319191326484,0.6949732893633063,0.5543658178268839,0.8107690198917449,0.5770295242629757
aus_overlap,extreme_weather_soil,Ridge,645,144,138,3,0.3159910344405965,0.4326246236941296,0.6965585024298258,0.562372360320159,0.8179707024878278,0.569482053709227
aus_overlap,extreme_weather_soil,RandomForest,645,144,138,3,0.09564530221480333,0.13033785021752217,0.972458118145656,0.6034871981899603,0.84379397590524,0.5418701354100954
aus_overlap,extreme_weather_soil,HistGradientBoosting,645,144,138,3,0.0458744480529604,0.07987440000804216,0.9896564951657324,0.5819071391116593,0.8900213069849795,0.4902977274361814
aus_us_overlap,extreme_weather_only,ExtraTrees,1593,353,76,3,0.03500615078544596,0.05462519519689394,0.996778352694564,0.5008490018113516,0.6612105304899647,0.7184288293749548
aus_us_overlap,extreme_weather_only,HistGradientBoosting,1593,353,76,3,0.07574084555866135,0.10287812249234651,0.9885728468067486,0.47090346273141986,0.6795733307424107,0.7025723653287564
aus_us_overlap,extreme_weather_only,RandomForest,1593,353,76,3,0.11070747962343956,0.14848242584898963,0.9761964298854496,0.5309963737322321,0.7314804258719498,0.6554009455708059
aus_us_overlap,extreme_weather_only,ANN_MLP,1593,353,76,3,0.12721706324130821,0.19439200197949996,0.9592010698659027,0.5706766758638353,0.7894459980274163,0.5986220428326408
aus_us_overlap,extreme_weather_only,Ridge,1593,353,76,3,0.3858525458316162,0.5562332392716945,0.6659543155463458,0.5676210513779281,0.823207681288233,0.5635570409760412
aus_us_overlap,extreme_weather_only,ElasticNet,1593,353,76,3,0.38636850033919656,0.5590192012459477,0.66259971852824,0.5656955484481545,0.8245733383053924,0.562107769315782
aus_us_overlap,extreme_weather_soil,ANN_MLP,1593,353,192,3,0.16067312636696313,0.22069074789330675,0.9474151980256117,0.4627977944338079,0.6097562675785421,0.76054648895233
aus_us_overlap,extreme_weather_soil,HistGradientBoosting,1593,353,192,3,0.07502192200274253,0.10111160817986982,0.9889619075883563,0.4517652266154443,0.6482171700821607,0.7293863342451858
aus_us_overlap,extreme_weather_soil,ExtraTrees,1593,353,192,3,0.04029798707458117,0.06282841931669748,0.995738090170229,0.5004768909118348,0.6621534316208925,0.717625203107605
aus_us_overlap,extreme_weather_soil,RandomForest,1593,353,192,3,0.10983160466672794,0.14625884708917578,0.9769040260360297,0.5241317213553514,0.7114799949682158,0.6739876517980524
aus_us_overlap,extreme_weather_soil,ElasticNet,1593,353,192,3,0.38701979765392647,0.5588381227485643,0.6628182657291133,0.5659752633198667,0.8206024494638859,0.5663151199065772
aus_us_overlap,extreme_weather_soil,Ridge,1593,353,192,3,0.385479362761385,0.5559095081037414,0.6663430356823659,0.5674179276844532,0.8223893285862643,0.5644243476204323
aus_us_wheat,extreme_weather_only,Ridge,486,105,76,3,0.2918453535000525,0.3696693547990103,0.8327775249247609,0.5101363450457121,0.6954840999184522,0.6900879328389999
aus_us_wheat,extreme_weather_only,ElasticNet,486,105,76,3,0.2940033169823933,0.3741409234722182,0.8287075678538078,0.5113050350456847,0.6966809157446566,0.6890203978576743
aus_us_wheat,extreme_weather_only,HistGradientBoosting,486,105,76,3,0.027050948035700698,0.043902032375896995,0.9976414939233209,0.5591961358553036,0.7610385232632909,0.6289116180901013
aus_us_wheat,extreme_weather_only,ExtraTrees,486,105,76,3,0.034860046043846224,0.056813595173491056,0.9960502255795695,0.6065533039551387,0.7725870309809288,0.6175638805924254
aus_us_wheat,extreme_weather_only,RandomForest,486,105,76,3,0.12917680528565553,0.16713944153793198,0.9658157826132783,0.6097618848966025,0.7833946798405234,0.6067893144998513
aus_us_wheat,extreme_weather_only,ANN_MLP,486,105,76,3,0.25184759273006546,0.34148513428414495,0.857304146599845,0.5735296439136243,0.7945305971032419,0.5955309189145358
aus_us_wheat,extreme_weather_soil,ElasticNet,486,105,192,3,0.29087497151535724,0.3692947424479931,0.8331162701472116,0.4972359722566913,0.6738695657903265,0.7090517423232976
aus_us_wheat,extreme_weather_soil,Ridge,486,105,192,3,0.28994256835272586,0.36524515626414195,0.8367562064606566,0.5005488368987681,0.6810331023452892,0.7028330416258831
aus_us_wheat,extreme_weather_soil,HistGradientBoosting,486,105,192,3,0.027296358943886323,0.04407162051144999,0.9976232374940437,0.5372194263525971,0.7465295430985567,0.6429261272606974
aus_us_wheat,extreme_weather_soil,ANN_MLP,486,105,192,3,0.2538929678564546,0.34259724007897163,0.8563732053961947,0.5429426068191925,0.7665567804987455,0.6235106161719035
aus_us_wheat,extreme_weather_soil,ExtraTrees,486,105,192,3,0.035130329266690054,0.0569917064805266,0.9960254215789757,0.611743835291489,0.7791832681927291,0.6110056334905933
aus_us_wheat,extreme_weather_soil,RandomForest,486,105,192,3,0.12953891119731908,0.16626657608943265,0.966171896152008,0.6104938197710289,0.7824839883172247,0.6077029931513234
us_overlap,extreme_weather_only,ExtraTrees,948,209,64,3,0.03288135539833257,0.05225395338392232,0.9968789012379867,0.43686080242310343,0.5342489083415314,0.801457573296843
us_overlap,extreme_weather_only,HistGradientBoosting,948,209,64,3,0.05336782298113877,0.07791117970190392,0.9930614493154032,0.43027932947553055,0.5888838212559826,0.7587733505633424
us_overlap,extreme_weather_only,RandomForest,948,209,64,3,0.12620560094633287,0.17192914410764232,0.9662115548821953,0.46435157147026074,0.6345508532665878,0.7199091614355537
us_overlap,extreme_weather_only,ElasticNet,948,209,64,3,0.40589096935836955,0.594662313232517,0.595787223926435,0.5729874495385816,0.8067113135929607,0.547308505950153
us_overlap,extreme_weather_only,Ridge,948,209,64,3,0.4058655053810105,0.5924900800985733,0.5987349159802242,0.575562644458624,0.806794575303486,0.547215055387076
us_overlap,extreme_weather_only,ANN_MLP,948,209,64,3,0.3472038618742614,0.4883319053561373,0.7274165999088806,0.6075799776067344,0.8288532551173596,0.5221172725179328
us_overlap,extreme_weather_soil,ExtraTrees,948,209,118,3,0.04411930145017111,0.06618289595589473,0.994993194304127,0.43704290372522236,0.5334320586102003,0.8020642393726788
us_overlap,extreme_weather_soil,HistGradientBoosting,948,209,118,3,0.04962292595255101,0.07181377116711872,0.9941049882997214,0.4229120485289822,0.5511403131093475,0.7887044278593955
us_overlap,extreme_weather_soil,RandomForest,948,209,118,3,0.12331371955331549,0.16342570973653064,0.9694711838242023,0.43850858836972983,0.557680749004423,0.7836597411650362
us_overlap,extreme_weather_soil,ANN_MLP,948,209,118,3,0.21028689170474335,0.2955679180975946,0.900141787095753,0.5254748210734689,0.682355847874652,0.6761172078176385
us_overlap,extreme_weather_soil,ElasticNet,948,209,118,3,0.4062515897673706,0.5943542107011105,0.5962059715554863,0.572532882855447,0.8048647102951083,0.5493786017459843
us_overlap,extreme_weather_soil,Ridge,948,209,118,3,0.4059480902082328,0.5923857015096637,0.5988762847401832,0.5749407923480855,0.8063099392570505,0.5477588617172756
