country,region,crop,early_observed_yield_1989_2000,late_observed_yield_2010_2021,delta_observed_yield_t_ha,early_predicted_yield_1989_2000,late_predicted_yield_2010_2021,delta_predicted_yield_t_ha,observed_slope_t_ha_per_year,predicted_slope_t_ha_per_year,observed_change_status,predicted_change_status,rows
Australia,Tasmania,Wheat,3.5353780904767755,5.521812069210518,1.9864339787337424,3.6057778637683335,4.617425243137322,1.0116473793689882,0.09688942587177822,0.04539269994064541,increase,increase,33
United States,Colorado,Barley,5.106516666666667,7.029866666666668,1.923350000000001,5.190775600067377,6.3746023408864225,1.183826740819046,0.09522887700534748,0.05843954762904538,increase,increase,33
Australia,Tasmania,Barley,2.559203570718159,4.066094732812768,1.5068911620946093,2.6446966984370444,3.566729142489001,0.9220324440519567,0.07100968899554547,0.04167349711651638,increase,increase,33
United States,Minnesota,Wheat,2.5874437500000003,3.766560416666667,1.1791166666666668,2.6436119043238597,3.3329607482841506,0.6893488439602908,0.0523614973262031,0.03156214389465344,increase,increase,33
United States,Illinois,Wheat,3.3961249999999996,4.544979166666667,1.1488541666666672,3.4174595597618236,4.326297537187051,0.9088379774252271,0.05502272727272697,0.04375189658167465,increase,increase,33
Australia,Tasmania,Canola,1.1251478463842333,2.1744208328968617,1.0492729865126285,1.2464297386670686,1.9954658219902184,0.7490360833231497,0.055212019332779194,0.03448066429223557,increase,increase,33
United States,Iowa,Wheat,2.7068125,3.609083333333333,0.9022708333333331,2.821075948151391,3.534738712926059,0.7136627647746678,0.046798220244716825,0.03888056020557834,increase,increase,30
United States,North Dakota,Wheat,2.0746625,2.8816625000000005,0.8070000000000004,2.1605979669256783,2.8193666304396063,0.658768663513928,0.03563216076203212,0.03148148555258287,increase,increase,33
United States,South Dakota,Wheat,2.212525,3.0099979166666664,0.7974729166666665,2.328556812121064,3.1318728314537956,0.8033160193327316,0.03817201704545453,0.04131633338254256,increase,increase,33
United States,South Dakota,Oats,2.026655,2.729109166666667,0.702454166666667,2.057221102491614,2.600337257994041,0.5431161555024269,0.03417960227272735,0.028537088378153927,increase,increase,33
United States,North Dakota,Barley,2.739316666666667,3.4028500000000004,0.6635333333333335,2.7142014959737786,3.3225926133257224,0.6083911173519438,0.03125147058823545,0.028325988040722894,increase,increase,33
Australia,Western Australia,Barley,1.6921477131407554,2.347244986669504,0.6550972735287488,1.7307439815010968,2.154647975898335,0.423903994397238,0.03206714098478007,0.020884371780383354,increase,increase,33
United States,Nebraska,Wheat,2.4602291666666667,3.0654791666666665,0.6052499999999998,2.4082891710347942,2.900659414161763,0.492370243126969,0.033220421122994684,0.02550834024350735,increase,increase,33
Australia,Queensland,Barley,1.4815551045118924,2.0155712517157993,0.5340161472039069,1.4874174636014326,2.0643123063965003,0.5768948427950678,0.023511304052774747,0.02619978447296743,increase,increase,33
Australia,Victoria,Barley,1.8022217456748582,2.310840207579412,0.508618461904554,1.8280905743405629,2.121144488836478,0.2930539144959152,0.02408408940114472,0.0130534930938148,increase,increase,33
United States,North Dakota,Oats,1.9339908333333333,2.3973116666666665,0.4633208333333332,1.968719594925,2.2986788872549013,0.3299592923299013,0.023054147727272878,0.015935272527656804,increase,increase,33
Australia,Queensland,Canola,0.5640296151196129,1.0202178778655033,0.4561882627458904,0.5330019721081837,1.1252125881527284,0.5922106160445447,0.019277450295586442,0.027643479044839717,increase,increase,30
Australia,Tasmania,Oats,1.815053008659272,2.2643323884157938,0.44927937975652177,1.7577223747782031,2.5451006929936493,0.7873783182154461,0.019682088540511653,0.0353087431025262,increase,increase,33
Australia,South Australia,Wheat,1.6754007577454342,2.1214452411608367,0.4460444834154025,1.6883714508963454,1.950208420314941,0.2618369694185956,0.01811631356761795,0.009746056068935936,increase,increase,33
United States,Kansas,Wheat,2.454625,2.8973541666666676,0.4427291666666675,2.404405717112733,2.727285305801028,0.3228795886882949,0.025982954545454684,0.017640447766352582,increase,increase,33
United States,North Dakota,Canola,1.5064224000000002,1.9157194583333335,0.4092970583333333,1.473950750705892,1.7866458658456665,0.31269511513977455,0.019619394556452254,0.014874188278370276,increase,increase,31
United States,Minnesota,Canola,1.5775963750000002,1.9857725833333335,0.40817620833333335,1.5438268323846949,1.9182425197130293,0.3744156873283344,0.03356514653846067,0.025315049481657217,increase,increase,25
Australia,South Australia,Barley,1.8625140774762245,2.2616864375424206,0.39917236006619605,1.8755439485771384,2.035470990543478,0.15992704196633967,0.015941366027111072,0.0052845586352447,increase,stable,33
Australia,New South Wales,Barley,1.8098184549820113,2.2059525822365074,0.39613412725449604,1.8550382738111837,2.247136153945851,0.3920978801346673,0.018142357136901356,0.01629357722881421,increase,increase,33
Australia,Western Australia,Oats,1.7666089517266939,2.152323333271862,0.38571438154516824,1.639615647460242,1.9899330162732312,0.35031736881298925,0.019268852133693545,0.017401911151561852,increase,increase,33
United States,Montana,Barley,2.5465333333333335,2.9141666666666666,0.36763333333333303,2.5613799428799036,2.986813650516769,0.4254337076368655,0.016632687165775432,0.02054223703097388,increase,increase,33
Australia,Queensland,Wheat,1.3164360435051206,1.6812896771774748,0.36485363367235424,1.335434287605832,1.924098888009102,0.5886646004032698,0.016438669847643302,0.027450761687526675,increase,increase,33
Australia,Victoria,Canola,1.2781496197618027,1.622835897769906,0.34468627800810325,1.2479636323618706,1.4318945315174576,0.18393089915558702,0.018202555808297414,0.008194631929925039,increase,stable,33
United States,Montana,Wheat,2.1094083333333336,2.450141666666667,0.34073333333333355,2.0091651140701545,2.5459277205755577,0.5367626065054032,0.013719719251336814,0.025531574073523182,increase,increase,33
Australia,Victoria,Wheat,2.0287163873302156,2.3680564721154957,0.3393400847852801,2.0126631429208257,2.152610259753962,0.13994711683313632,0.016836982618839234,0.006079146860402551,increase,stable,33
United States,Nebraska,Oats,1.9339908333333335,2.2717666666666667,0.33777583333333316,1.8543244381266921,2.3769954474263675,0.5226710092996754,0.015585227272727284,0.025057482913814606,increase,increase,33
United States,Washington,Wheat,3.890972916666667,4.219377083333334,0.3284041666666666,3.784372479410198,3.966692566378048,0.18232008696785007,0.015421198195187212,0.009574297665671746,increase,stable,33
United States,Minnesota,Barley,3.057633333333333,3.384916666666667,0.3272833333333338,2.9563088186552036,3.542114204540859,0.5858053858856556,0.014079344919786109,0.027214508317542598,increase,increase,33
United States,Illinois,Oats,2.3405175000000003,2.642423333333333,0.30190583333333265,2.328982971012652,3.0513189832832452,0.7223360122705933,0.01237227272727249,0.035327366037855024,increase,increase,33
United States,Montana,Canola,1.210518,1.5010049583333334,0.2904869583333334,1.2769528147263984,1.6797346976303036,0.40278188290390515,0.011042366106719945,0.027254857220244712,increase,increase,23
United States,Kansas,Barley,2.053366666666667,2.32416,0.2707933333333332,2.0929269100727583,2.382960469254089,0.2900335591813308,0.013916862679745031,0.01653727368054239,increase,increase,31
United States,Washington,Barley,3.326633333333333,3.5777,0.251066666666667,3.245284312875128,3.455058965505911,0.2097746526307831,0.01269478609625659,0.012348128694059561,increase,increase,33
United States,Colorado,Wheat,2.2954666666666665,2.54373125,0.24826458333333346,2.118580332081025,2.796612106186414,0.678031774105389,0.014097326203208593,0.03510755383382979,increase,increase,33
Australia,Western Australia,Wheat,1.630755946810222,1.8783512597948737,0.24759531298465176,1.5653330352464245,1.8568010449076275,0.291468009661203,0.014893045510763961,0.014889957948674403,increase,increase,33
Australia,South Australia,Oats,1.3127700745197692,1.5542688200409434,0.24149874552117412,1.3292255856907567,1.5915112045779927,0.262285618887236,0.009324080685763226,0.010366612281191902,increase,increase,33
United States,Colorado,Oats,2.1731241666666663,2.411261111111111,0.23813694444444478,1.9360980961963286,2.4935243264191276,0.557426230222799,0.013478182424916423,0.033385980342950414,increase,increase,30
Australia,New South Wales,Wheat,1.9638347034009274,2.1987121604600617,0.23487745705913432,2.1792466818171623,2.1414456023025314,-0.03780107951463085,0.010927845232168807,-0.0034410623181538773,increase,stable,33
United States,Minnesota,Oats,2.0685033333333336,2.3016583333333336,0.233155,2.0295168198414792,2.4660393200784254,0.43652250023694616,0.011832784090909085,0.020293036846060736,increase,increase,33
Australia,Western Australia,Canola,1.0381750209165326,1.2431424157100925,0.20496739479355996,1.0920606973566562,1.4273951783172842,0.335334480960628,0.011003307511184399,0.016743093736970097,increase,increase,33
United States,Iowa,Oats,2.2598100000000003,2.4600841666666664,0.2002741666666661,2.236071873946115,2.534484596107107,0.29841272216099224,0.009758749999999808,0.015525079625443678,increase,increase,33
United States,Oklahoma,Wheat,1.9642604166666666,2.1520000000000006,0.18773958333333396,1.9468344289217239,2.3320212998303504,0.3851868709086266,0.012260987633689876,0.021901946633020603,stable,increase,33
United States,Oklahoma,Oats,1.4019191666666666,1.5125183333333332,0.11059916666666658,1.4224181113147274,1.5999973870721653,0.17757927575743793,0.007241136363636309,0.012509269024545872,stable,stable,33
Australia,South Australia,Canola,1.4234235869428291,1.5322268771213237,0.10880329017849455,1.2410692338081997,1.3534388299919746,0.11236959618377496,0.004995629577398941,0.0027619383218414526,stable,stable,33
United States,Texas,Oats,1.5513775,1.6530091666666664,0.10163166666666634,1.4872629030792925,1.8108976934389143,0.3236347903596217,0.006090227272727351,0.017105251215369318,stable,increase,33
United States,Texas,Wheat,1.9950833333333329,2.095958333333334,0.10087500000000094,1.8852800879289886,2.3633594197901235,0.47807933186113494,0.006653074866310264,0.025489995684495097,stable,increase,33
United States,Kansas,Oats,1.7426841666666666,1.8233916666666667,0.08070750000000015,1.7080164392071655,1.9624004072639532,0.25438396805678765,0.004759488636363534,0.01467041619472994,stable,increase,33
Australia,Victoria,Oats,1.9402081938292035,1.9149771086210985,-0.02523108520810502,1.9474978625903538,2.062552949080868,0.11505508649051399,0.0031680202436485927,0.0057730325223945165,stable,stable,33
United States,Montana,Oats,1.8353483333333334,1.8054566666666665,-0.029891666666666872,1.8708204905486785,2.0789722003290936,0.20815170978041508,-0.0027214204545454126,0.009805697465045041,stable,increase,33
Australia,Queensland,Oats,0.6843257888142018,0.6390764098986679,-0.04524937891553393,0.6142296733261469,1.0866530517997852,0.47242337847363836,-2.8287743074230123e-05,0.022166399582138653,stable,increase,33
Australia,New South Wales,Canola,1.5253130081329422,1.4464351946668037,-0.07887781346613854,1.3586321023058643,1.3711246493409206,0.012492547035056312,-0.0038283290500976015,-0.0001360382233469749,stable,stable,33
United States,South Dakota,Barley,2.385133333333333,2.2219400000000005,-0.16319333333333264,2.2872036291105755,2.769794134922416,0.4825905058118405,-0.005619643367299109,0.026450229080314455,stable,increase,31
United States,Washington,Oats,2.5258458333333333,2.2558244444444444,-0.27002138888888894,2.4318828897126727,2.4608623924873245,0.028979502774651777,-0.009951032258064802,0.00347713038962122,decrease,stable,30
Australia,New South Wales,Oats,1.464332577172863,1.114147087402571,-0.35018548977029207,1.5166478591805197,1.4334582812032715,-0.08318957797724824,-0.015381581682877734,-0.003447258634443957,decrease,stable,33
